player_id,team_id,player_name,matches_played,starts,sub_on_appearances,sub_off_appearances,avg_sub_on_minute,avg_sub_off_minute,typical_role
2279,63,Ethan Ampadu,1,1,0,1,,78.0,UNK
47969,63,Gabriel Gudmundsson,3,3,0,1,,80.0,UNK
129142,63,Ilia Gruev,3,2,1,0,78.0,,UNK
19128,63,Jack Harrison,2,0,3,0,69.0,,UNK
833,63,Jaka Bijol,0,0,2,0,,,UNK
19760,63,James Justin,1,0,1,0,80.0,,UNK
19201,63,Jayden Bogle,3,3,0,1,,83.0,UNK
19321,63,Joe Rodon,3,3,0,0,,,UNK
250,63,Joël Piroe,2,2,1,2,,68.0,UNK
18885,63,Karl Darlow,0,0,3,0,,,UNK
138776,63,Largie Ramazani,0,0,1,0,,,UNK
80296,63,Lucas Perri,3,3,0,0,,,UNK
19461,63,Lukas Nmecha,3,1,2,1,68.0,70.0,UNK
48389,63,Noah Okafor,1,0,2,0,66.0,,UNK
64003,63,Pascal Struijk,3,3,0,0,,,UNK
19287,63,Sam Byram,1,0,2,0,83.0,,UNK
18901,63,Sean Longstaff,3,1,2,0,74.0,,UNK
1408,63,Sebastiaan Bornauw,0,0,3,0,,,UNK
162128,63,Wilfried Gnonto,3,3,0,3,,64.33333333333333,UNK
18933,65,Angus Gunn,0,0,3,0,,,UNK
147831,65,Arnaud Kalimuendo,2,0,2,0,80.0,,UNK
2298,65,Callum Hudson-Odoi,3,3,0,2,,80.5,UNK
18931,65,Chris Wood,3,3,0,3,,80.0,UNK
48648,65,Dan Ndoye,3,3,0,3,,69.33333333333333,UNK
47522,65,Douglas Luiz,0,0,2,0,,,UNK
138908,65,Elliot Anderson,3,3,0,0,,,UNK
22149,65,Ibrahim Sangaré,3,3,0,2,,88.5,UNK
9366,65,Igor Jesus,3,0,3,0,80.0,,UNK
362711,65,Jair,0,0,1,0,,,UNK
158697,65,James McAtee,2,0,2,0,65.0,,UNK
141901,65,Jota Silva,1,0,1,0,79.0,,UNK
2919,65,Matz Sels,3,3,0,0,,,UNK
67943,65,Morato,0,0,3,0,,,UNK
18746,65,Morgan Gibbs-White,3,3,0,2,,83.0,UNK
363695,65,Murillo,3,3,0,0,,,UNK
138780,65,Neco Williams,3,3,0,0,,,UNK
2817,65,Nikola Milenković,3,3,0,0,,,UNK
2771,65,Ola Aina,3,3,0,0,,,UNK
284428,65,Omari Hutchinson,2,0,2,0,85.5,,UNK
19305,65,Ryan Yates,2,0,3,0,86.0,,UNK
8598,65,Taiwo Awoniyi,0,0,1,0,,,UNK
18739,65,Willy Boly,0,0,3,0,,,UNK
329357,65,Zach Abbott,0,0,1,0,,,UNK
162714,66,Amadou Onana,2,2,0,1,,64.0,UNK
1904,66,Boubacar Kamara,2,2,0,1,,16.0,UNK
453101,66,Bradley Burrowes,1,0,2,0,74.0,,UNK
249,66,Donyell Malen,3,1,2,1,74.0,83.0,UNK
19071,66,Emiliano Buendía,2,0,3,0,31.0,,UNK
19599,66,Emiliano Martínez,1,1,0,0,,,UNK
137303,66,Evann Guessand,2,1,2,1,75.0,46.0,UNK
19354,66,Ezri Konsa,2,2,0,0,,,UNK
138816,66,Ian Maatsen,2,1,2,1,64.0,84.0,UNK
360268,66,Jamaldeen Jimoh,0,0,2,0,,,UNK
284390,66,James Wright,0,0,1,0,,,UNK
19191,66,John McGinn,3,3,0,3,,77.33333333333333,UNK
284457,66,Lamare Bogarde,2,0,3,0,79.0,,UNK
2724,66,Lucas Digne,3,2,1,1,83.0,64.0,UNK
36878,66,Marco Bizot,2,2,1,0,,,UNK
19298,66,Matty Cash,3,3,0,1,,74.0,UNK
19170,66,Morgan Rogers,3,3,0,0,,,UNK
19366,66,Ollie Watkins,3,3,0,0,,,UNK
46815,66,Pau Torres,2,1,2,0,74.0,,UNK
398004,66,Sam Proctor,0,0,2,0,,,UNK
162173,66,Samuel Iling Junior,0,0,1,0,,,UNK
308843,66,Travis Patterson,0,0,1,0,,,UNK
360269,66,Triston Rowe,0,0,2,0,,,
19179,66,Tyrone Mings,3,3,0,0,,,UNK
2926,66,Youri Tielemans,3,3,0,0,,,UNK
19881,746,Anthony Patterson,0,0,3,0,,,UNK
18816,746,Arthur Masuaku,0,0,2,0,,,UNK
336659,746,Chemsdine Talbi,3,3,0,3,,72.66666666666667,UNK
339201,746,Chris Rigg,1,0,3,0,90.0,,UNK
19910,746,Dan Neil,0,0,3,0,,,UNK
55904,746,Daniel Ballard,2,2,0,1,,9.0,UNK
349799,746,Eliezer Mayenda,3,3,0,3,,68.0,UNK
20638,746,Enzo Le Fée,3,1,2,0,69.5,,UNK
1464,746,Granit Xhaka,3,3,0,0,,,UNK
327631,746,Habib Diarra,3,3,0,2,,83.5,UNK
330640,746,Harrison Jones,0,0,1,0,,,UNK
290545,746,Jenson Seelt,2,1,2,1,9.0,53.0,UNK
392270,746,Marc Guiu,2,0,3,0,83.5,,UNK
365331,746,Noah Sadiki,3,3,0,0,,,UNK
1146,746,Nordi Mukiele,1,1,0,0,,,UNK
6168,746,Omar Alderete,3,2,1,0,53.0,,UNK
