fixture_id,team_id,player_id,position_string,grid_x,grid_y,role,role_profile,side,band
1378973,48,284446,M,,,CM,central / attacking midfielder,UNK,UNK
1378973,48,68466,M,,,CM,central / attacking midfielder,UNK,UNK
1378975,39,1590,G,1.0,1.0,GK,goalkeeper,L,deep
1378975,39,18742,D,2.0,3.0,FB,full-back / wing-back,L,mid
1378975,39,135068,D,2.0,2.0,FB,full-back / wing-back,L,deep
1378975,39,41606,D,2.0,1.0,FB,full-back / wing-back,L,deep
1378975,39,285,M,3.0,4.0,CM,central / attacking midfielder,C,high
1378975,39,265784,M,3.0,3.0,CM,central / attacking midfielder,C,mid
1378975,39,195103,M,3.0,2.0,DM,defensive midfielder,C,deep
1378975,39,265782,M,3.0,1.0,DM,defensive midfielder,C,deep
1378975,39,3080,F,4.0,3.0,W,wide forward / winger,R,mid
1378975,39,2032,F,4.0,2.0,W,wide forward / winger,R,deep
1378975,39,20665,F,4.0,1.0,W,wide forward / winger,R,deep
1378975,39,19143,G,,,GK,goalkeeper,UNK,UNK
1378975,39,280687,D,,,FB,full-back / wing-back,UNK,UNK
1378975,39,135334,D,,,FB,full-back / wing-back,UNK,UNK
1378975,39,13708,M,,,CM,central / attacking midfielder,UNK,UNK
1378975,39,24888,F,,,W,wide forward / winger,UNK,UNK
1378975,39,195717,D,,,FB,full-back / wing-back,UNK,UNK
1378975,39,7722,F,,,W,wide forward / winger,UNK,UNK
1378975,39,282770,D,,,FB,full-back / wing-back,UNK,UNK
1378975,39,391822,F,,,W,wide forward / winger,UNK,UNK
1378975,50,162489,G,1.0,1.0,GK,goalkeeper,L,deep
1378975,50,284230,D,2.0,4.0,FB,full-back / wing-back,L,high
1378975,50,626,D,2.0,3.0,FB,full-back / wing-back,L,mid
1378975,50,567,D,2.0,2.0,FB,full-back / wing-back,L,deep
1378975,50,21138,D,2.0,1.0,FB,full-back / wing-back,L,deep
1378975,50,36902,M,3.0,3.0,CM,central / attacking midfielder,C,mid
1378975,50,161933,M,3.0,2.0,DM,defensive midfielder,C,deep
1378975,50,636,M,3.0,1.0,DM,defensive midfielder,C,deep
1378975,50,278133,F,4.0,3.0,W,wide forward / winger,R,mid
1378975,50,1100,F,4.0,2.0,W,wide forward / winger,R,deep
